nohup: ignoring input
2026-02-13 12:57:43,519 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-13 12:57:43,520 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-13 12:57:43,520 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-13 12:57:43,520 INFO     Listening on TCP address 0.0.0.0:8000
Internal Server Error: /api/chat/
2026-02-13 12:58:04,710 ERROR    Internal Server Error: /api/chat/
127.0.0.1:59394 - - [13/Feb/2026:12:58:04] "POST /api/chat/" 500 243
127.0.0.1:59400 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59410 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59426 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59436 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59452 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59458 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59464 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59474 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59476 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59486 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59500 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59514 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59522 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59526 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59534 - - [13/Feb/2026:12:58:06] "POST /api/update/" 200 34
127.0.0.1:59548 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59552 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59564 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59572 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59580 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59582 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59588 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59592 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59602 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59614 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59630 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59632 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59634 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59642 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59646 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59662 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59674 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59680 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59684 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59686 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59698 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
127.0.0.1:59708 - - [13/Feb/2026:12:58:07] "POST /api/update/" 200 34
