2026-02-21 12:24:22,227 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-21 12:24:22,228 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     Listening on TCP address 0.0.0.0:8000
127.0.0.1:52406 - - [21/Feb/2026:12:24:23] "POST /api/update/" 200 34
127.0.0.1:52420 - - [21/Feb/2026:12:24:23] "POST /api/update/" 200 34
127.0.0.1:52414 - - [21/Feb/2026:12:24:23] "POST /api/update/" 200 34
127.0.0.1:52422 - - [21/Feb/2026:12:24:23] "POST /api/update/" 200 34
127.0.0.1:52438 - - [21/Feb/2026:12:24:23] "POST /api/update/" 200 34
127.0.0.1:42466 - - [21/Feb/2026:12:24:25] "POST /api/update/" 200 34
127.0.0.1:42488 - - [21/Feb/2026:12:24:25] "POST /api/update/" 200 34
127.0.0.1:42478 - - [21/Feb/2026:12:24:25] "POST /api/update/" 200 34
127.0.0.1:42510 - - [21/Feb/2026:12:24:25] "POST /api/update/" 200 34
127.0.0.1:42496 - - [21/Feb/2026:12:24:25] "POST /api/update/" 200 34
127.0.0.1:42514 - - [21/Feb/2026:12:24:27] "POST /api/update/" 200 34
127.0.0.1:42532 - - [21/Feb/2026:12:24:27] "POST /api/update/" 200 34
127.0.0.1:42528 - - [21/Feb/2026:12:24:27] "POST /api/update/" 200 34
127.0.0.1:42538 - - [21/Feb/2026:12:24:27] "POST /api/update/" 200 34
127.0.0.1:42540 - - [21/Feb/2026:12:24:27] "POST /api/update/" 200 34
127.0.0.1:42548 - - [21/Feb/2026:12:24:28] "POST /api/update/" 200 34
127.0.0.1:42556 - - [21/Feb/2026:12:24:29] "WSCONNECTING /ws/packets/" - -
127.0.0.1:42556 - - [21/Feb/2026:12:24:29] "WSCONNECT /ws/packets/" - -
127.0.0.1:42572 - - [21/Feb/2026:12:24:29] "GET /api/settings/whitelist/" 200 62
127.0.0.1:42584 - - [21/Feb/2026:12:24:29] "GET /api/settings/whitelist/" 200 62
127.0.0.1:42592 - - [21/Feb/2026:12:24:29] "WSCONNECTING /ws/packets/" - -
127.0.0.1:42592 - - [21/Feb/2026:12:24:29] "WSCONNECT /ws/packets/" - -
127.0.0.1:42556 - - [21/Feb/2026:12:24:29] "WSDISCONNECT /ws/packets/" - -
127.0.0.1:42608 - - [21/Feb/2026:12:24:29] "POST /api/update/" 200 34
127.0.0.1:42636 - - [21/Feb/2026:12:24:29] "POST /api/update/" 200 34
127.0.0.1:42620 - - [21/Feb/2026:12:24:29] "POST /api/update/" 200 34
127.0.0.1:42662 - - [21/Feb/2026:12:24:29] "POST /api/update/" 200 34
127.0.0.1:42652 - - [21/Feb/2026:12:24:29] "POST /api/update/" 200 34
127.0.0.1:42664 - - [21/Feb/2026:12:24:30] "POST /api/update/" 200 34
127.0.0.1:42672 - - [21/Feb/2026:12:24:31] "POST /api/update/" 200 34
127.0.0.1:42682 - - [21/Feb/2026:12:24:31] "POST /api/update/" 200 34
127.0.0.1:42684 - - [21/Feb/2026:12:24:31] "POST /api/update/" 200 34
127.0.0.1:42696 - - [21/Feb/2026:12:24:31] "POST /api/update/" 200 34
127.0.0.1:42698 - - [21/Feb/2026:12:24:31] "POST /api/update/" 200 34
127.0.0.1:42712 - - [21/Feb/2026:12:24:32] "POST /api/update/" 200 34
127.0.0.1:42716 - - [21/Feb/2026:12:24:33] "POST /api/update/" 200 34
127.0.0.1:42730 - - [21/Feb/2026:12:24:33] "POST /api/update/" 200 34
127.0.0.1:42744 - - [21/Feb/2026:12:24:33] "POST /api/update/" 200 34
127.0.0.1:42750 - - [21/Feb/2026:12:24:33] "POST /api/update/" 200 34
