"flow_id","anomaly_score","anomaly_reason","last_packet_info","confidence","packet_count","total_bytes","duration","event_time","flow","last_packet_time","encryption","whitelisted","time","diff"
"127.0.0.1:61851 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","197","26815","4.972625089645386","1771522975.9933658","127.0.0.1:61851 -> 127.0.0.53:53","1771522975.9933658","Encrypted","False","1771522977930","1"
"127.0.0.1:61851 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","198","27191","4.928160978317261","1771522977.7850616","127.0.0.1:61851 -> 127.0.0.53:53","1771522977.7850616","Encrypted","False","1771522977930","1"
"127.0.0.1:57573 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","136","18713","3.78477103805542","1771522977.7850616","127.0.0.1:57573 -> 127.0.0.53:53","1771522977.7850616","Encrypted","False","1771522977930","1"
"127.0.0.1:43071 -> 127.0.0.1:47842","0.3","","","0.7","25","3588","0.7689638862609863","1771522977.7850616","127.0.0.1:43071 -> 127.0.0.1:47842","1771522977.7850616","Encrypted","False","1771522977930","1"
"127.0.0.1:45444 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","93","12980","3.1109419593811034","1771522977.7850616","127.0.0.1:45444 -> 127.0.0.53:53","1771522977.7850616","Encrypted","False","1771522977930","1"
"127.0.0.1:43071 -> 127.0.0.1:47842","0.3","","","0.9","15","2591","0.267862154006958","1771522963.3209758","127.0.0.1:43071 -> 127.0.0.1:47842","1771522963.3209758","Encrypted","False","1771522977930","1"
"127.0.0.1:45444 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","93","12980","3.1109419593811034","1771522977.7850616","127.0.0.1:45444 -> 127.0.0.53:53","1771522977.7850616","Encrypted","False","1771522978354","-1"
"127.0.0.1:43071 -> 127.0.0.1:47842","0.3","","","0.7","25","3588","0.7689638862609863","1771522977.7850616","127.0.0.1:43071 -> 127.0.0.1:47842","1771522977.7850616","Encrypted","False","1771522978354","-1"
"127.0.0.1:57573 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.7","136","18713","3.78477103805542","1771522977.7850616","127.0.0.1:57573 -> 127.0.0.53:53","1771522977.7850616","Encrypted","False","1771522978354","-1"
"127.0.0.1:45444 -> 127.0.0.53:53","0.3","Potential Slow DoS Pattern","Potential Slow DoS Pattern","0.9","165","22289","3.737760139465332","1771522978.4118798","127.0.0.1:45444 -> 127.0.0.53:53","1771522978.4118798","Encrypted","False","1771522978354","1"
