"flow_id","anomaly_score","anomaly_reason","last_packet_info","confidence","packet_count","total_bytes","duration","event_time","flow","last_packet_time","encryption","time","diff"
"127.0.0.1:44444 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","1","54","0.001","1771338493.4413967","127.0.0.1:44444 -> 127.0.0.1:8056","1771338493.4413967","Unknown","1771338493964","1"
"127.0.0.1:44444 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","1","54","0.001","1771338493.4413967","127.0.0.1:44444 -> 127.0.0.1:8056","1771338493.4413967","Unknown","1771338494114","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","2","108","0.001009298324584961","1771338493.441406","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.441406","Unknown","1771338494114","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","2","108","0.001009298324584961","1771338493.441406","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.441406","Unknown","1771338494306","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","3","162","0.02502806282043457","1771338493.4654248","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4654248","Unknown","1771338494306","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","3","162","0.02502806282043457","1771338493.4654248","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4654248","Unknown","1771338494506","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","4","216","0.025041891098022462","1771338493.4654386","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4654386","Unknown","1771338494506","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","4","216","0.025041891098022462","1771338493.4654386","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4654386","Unknown","1771338494706","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","5","270","0.04914243316650391","1771338493.4895391","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4895391","Unknown","1771338494706","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","0.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","5","270","0.04914243316650391","1771338493.4895391","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4895391","Unknown","1771338494906","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","6","324","0.049156023025512696","1771338493.4895527","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4895527","Unknown","1771338494906","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","6","324","0.049156023025512696","1771338493.4895527","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.4895527","Unknown","1771338495106","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","7","378","0.07309372520446777","1771338493.5134904","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5134904","Unknown","1771338495106","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","7","378","0.07309372520446777","1771338493.5134904","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5134904","Unknown","1771338495306","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","8","432","0.07310683822631836","1771338493.5135036","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5135036","Unknown","1771338495306","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","8","432","0.07310683822631836","1771338493.5135036","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5135036","Unknown","1771338495506","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","9","486","0.1020580062866211","1771338493.5424547","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5424547","Unknown","1771338495506","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","9","486","0.1020580062866211","1771338493.5424547","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5424547","Unknown","1771338495706","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","10","540","0.10207040405273438","1771338493.542467","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.542467","Unknown","1771338495706","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan","Potential SYN Flood / Scan","0.9","10","540","0.10207040405273438","1771338493.542467","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.542467","Unknown","1771338495906","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","11","594","0.12611467933654785","1771338493.5665114","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5665114","Unknown","1771338495906","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","11","594","0.12611467933654785","1771338493.5665114","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5665114","Unknown","1771338496106","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","12","648","0.12612946128845215","1771338493.5665262","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5665262","Unknown","1771338496106","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","12","648","0.12612946128845215","1771338493.5665262","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5665262","Unknown","1771338496306","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","13","702","0.15026958084106445","1771338493.5906663","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5906663","Unknown","1771338496306","1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","13","702","0.15026958084106445","1771338493.5906663","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5906663","Unknown","1771338496506","-1"
"127.0.0.1:8056 -> 127.0.0.1:8056","1.0","Potential SYN Flood / Scan; Potential SYN Flood / Scan","Potential SYN Flood / Scan; Potential SYN Flood / Scan","0.9","14","756","0.15028197860717774","1771338493.5906787","127.0.0.1:8056 -> 127.0.0.1:8056","1771338493.5906787","Unknown","1771338496506","1"
