"data","time","diff"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 3 | Bytes: 345 | Duration: 1.29s","1771757556724","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 558 | Duration: 1.78s","1771757556724","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.10s","1771757556724","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 558 | Duration: 1.78s","1771757557126","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 771 | Duration: 2.37s","1771757557126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 771 | Duration: 2.37s","1771757558126","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 5 | Bytes: 771 | Duration: 2.37s","1771757558126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 7 | Bytes: 1050 | Duration: 3.55s","1771757558126","1"
"Flow: 192.168.1.12:34390 -> 192.168.1.20:443 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 10 | Bytes: 764 | Duration: 0.19s","1771757565626","1"
"Flow: 192.168.1.12:34390 -> 192.168.1.20:443 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 13 | Bytes: 1026 | Duration: 1.31s","1771757567126","1"
"Flow: 192.168.1.12:34390 -> 192.168.1.20:443 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 13 | Bytes: 1026 | Duration: 1.31s","1771757568626","-1"
"Flow: 192.168.1.12:34390 -> 192.168.1.20:443 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 13 | Bytes: 1026 | Duration: 1.31s","1771757568626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 19 | Bytes: 1486 | Duration: 2.84s","1771757568626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 14 | Bytes: 1092 | Duration: 2.68s","1771757568626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 19 | Bytes: 1486 | Duration: 2.84s","1771757573126","-1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 19 | Bytes: 1486 | Duration: 2.84s","1771757573126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757573126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 460 | Duration: 4.96s","1771757573126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757574626","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.36s","1771757574626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.36s","1771757576126","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 4 | Bytes: 240 | Duration: 2.46s","1771757576126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 2 | Bytes: 132 | Duration: 0.36s","1771757576126","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757576126","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757576640","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 7 | Bytes: 466 | Duration: 2.93s","1771757576640","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 186 | Duration: 0.00s","1771757582126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 186 | Duration: 0.00s","1771757582644","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 516 | Duration: 0.48s","1771757582644","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757592626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 3 | Bytes: 174 | Duration: 0.01s","1771757598626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757603126","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 3 | Bytes: 174 | Duration: 2.80s","1771757606126","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757606126","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757606656","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 6 | Bytes: 400 | Duration: 3.44s","1771757606656","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 6 | Bytes: 400 | Duration: 3.44s","1771757607626","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 400 | Duration: 2.33s","1771757607626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 400 | Duration: 3.44s","1771757607626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757607626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757609126","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 14 | Bytes: 4626 | Duration: 0.02s","1771757610626","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 14 | Bytes: 4626 | Duration: 0.02s","1771757611164","-1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 16 | Bytes: 5690 | Duration: 0.28s","1771757611164","1"
"Flow: 192.168.1.12:43814 -> 192.168.1.20:1716 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 16 | Bytes: 5690 | Duration: 0.28s","1771757612126","-1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.90 | Packets: 43 | Bytes: 16480 | Duration: 3.93s","1771757612168","1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.90 | Packets: 43 | Bytes: 16480 | Duration: 3.93s","1771757612670","-1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 44 | Bytes: 16559 | Duration: 4.36s","1771757612670","1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 44 | Bytes: 16559 | Duration: 4.36s","1771757613626","-1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 44 | Bytes: 16572 | Duration: 4.42s","1771757613626","1"
"Flow: 192.168.1.20:57492 -> 3.253.179.243:443 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.50 | Packets: 44 | Bytes: 16572 | Duration: 4.41s","1771757615126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 279 | Duration: 0.03s","1771757619626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757628626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 334 | Duration: 0.04s","1771757628626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.01s","1771757630126","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 3 | Bytes: 226 | Duration: 0.00s","1771757636126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.01s","1771757640626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 5 | Bytes: 358 | Duration: 4.07s","1771757640626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.01s","1771757651126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757658626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 108 | Duration: 0.00s","1771757658716","-1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 334 | Duration: 0.51s","1771757658716","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 400 | Duration: 2.50s","1771757660126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757660126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 400 | Duration: 2.50s","1771757661626","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757661626","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 2 | Bytes: 132 | Duration: 0.47s","1771757661626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 7 | Bytes: 466 | Duration: 2.97s","1771757661626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 3 | Bytes: 226 | Duration: 0.00s","1771757666126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.14s","1771757670626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 648 | Duration: 1.90s","1771757673626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 648 | Duration: 1.90s","1771757673738","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 8 | Bytes: 1128 | Duration: 2.15s","1771757673738","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 406 | Duration: 0.01s","1771757679626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 406 | Duration: 0.01s","1771757679746","-1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 8 | Bytes: 716 | Duration: 0.51s","1771757679746","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757684126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 9 | Bytes: 782 | Duration: 4.45s","1771757684126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757684252","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.44s","1771757684252","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 5 | Bytes: 442 | Duration: 4.39s","1771757684252","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.44s","1771757685626","-1"
