"timestamp","src_ip","dst_ip","src_port","dst_port","protocols","time","diff"
"1771770682.8291726","192.168.1.20","192.168.1.12","59812","1716","eth:ethertype:ip:tcp","1771770690880","1"
"1771770682.5378168","192.168.1.12","192.168.1.20","1716","59812","eth:ethertype:ip:tcp","1771770690880","1"
"1771770693.2898104","192.168.1.12","192.168.1.20","1716","59812","eth:ethertype:ip:tcp","1771770693774","1"
"1771770698.409814","192.168.1.12","192.168.1.20","1716","59812","eth:ethertype:ip:tcp","1771770698274","1"
"1771770699.0090652","192.168.1.20","192.168.1.12","59812","1716","eth:ethertype:ip:tcp","1771770699774","1"
"1771770709.1618109","192.168.1.12","192.168.1.20","1716","59812","eth:ethertype:ip:tcp","1771770708774","1"
"1771770709.712185","192.168.1.20","192.168.1.12","59812","1716","eth:ethertype:ip:tcp","1771770710274","1"
"1771770711.2628295","192.168.1.20","54.251.242.66","42317","8000","eth:ethertype:ip:tcp","1771770711774","1"
"1771770711.2628627","192.168.1.12","192.168.1.20","42317","8000","eth:ethertype:ip:icmp:ip:tcp","1771770711774","1"
"1771770711.2628708","192.168.1.20","54.251.242.66","42317","8000","eth:ethertype:ip:tcp","1771770711774","1"
"1771770712.3471808","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","44881","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.349448","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","34471","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.3473716","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","51238","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.3472908","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","59176","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.34797","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","59750","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.3493648","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","58261","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.626814","2401:4900:88cd:ee23:5ada:36cd:567b:b5fe","2606:4700:8399:782b:c076:80e:80f7:583c","40546","443","eth:ethertype:ipv6:tcp","1771770713274","1"
"1771770712.7717502","192.168.1.12","34.54.84.110","42942","443","eth:ethertype:ip:tcp","1771770713274","1"
"1771770712.577979","","","0","0","eth:ethertype:arp","1771770713274","1"
"1771770712.5329945","192.168.1.12","140.82.113.21","42752","443","eth:ethertype:ip:tcp","1771770713274","1"
"1771770712.348167","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","50122","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.3495233","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","41303","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.392189","2401:4900:88cd:ee23:5ada:36cd:567b:b5fe","2606:4700:8399:782b:c076:80e:80f7:583c","40546","443","eth:ethertype:ipv6:tcp:tls","1771770713274","1"
"1771770712.347197","2401:4900:88cd:ee23:5ada:36cd:567b:b5fe","2606:4700:8399:782b:c076:80e:80f7:583c","40546","443","eth:ethertype:ipv6:tcp:tls","1771770713274","1"
"1771770712.3480558","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","53721","53","eth:ethertype:ipv6:udp:dns","1771770713274","1"
"1771770712.771722","34.54.84.110","192.168.1.12","443","42942","eth:ethertype:ip:tcp","1771770713274","1"
"1771770712.577989","","","0","0","eth:ethertype:arp","1771770713274","1"
"1771770713.298541","2404:6800:4003:c06::66","2401:4900:88cd:ee23:5ada:36cd:567b:b5fe","443","59059","eth:ethertype:ipv6:udp:quic","1771770713284","1"
"1771770713.1772928","172.67.75.28","192.168.1.12","443","42596","eth:ethertype:ip:tcp","1771770713284","1"
"1771770713.2473524","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","42706","53","eth:ethertype:ipv6:udp:dns","1771770713284","1"
"1771770713.1233106","2606:4700:8399:782b:c076:80e:80f7:583c","2401:4900:88cd:ee23:5ada:36cd:567b:b5fe","443","40546","eth:ethertype:ipv6:tcp:tls","1771770713284","1"
"1771770713.126528","fe80::500c:123a:ac0c:37c","fe80::be51:5fff:fe24:dae3","53365","53","eth:ethertype:ipv6:udp:dns","1771770713284","1"
