"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","9","graph_edge","1771676675938","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","10","graph_edge","1771676675938","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","10","graph_edge","1771676675938","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","10","graph_edge","1771676675938","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","10","graph_edge","1771676675938","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1","graph_edge","1771676675938","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676675940","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676675940","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676675940","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676675940","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676675940","1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676677332","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676677332","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676677332","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676677332","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","27","graph_edge","1771676677332","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677332","1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677332","1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677332","1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677332","1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677332","1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677346","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677346","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677346","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677346","-1"
"192.168.1.10:443","192.168.1.20:44706","44706","48","graph_edge","1771676677346","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","60","graph_edge","1771676677346","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","60","graph_edge","1771676677346","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","60","graph_edge","1771676677346","1"
